,file,force_file,family,code,video_frame_count,framerate,foot,footfall_begin,footfall_end,open_frame,CoP,footfall_point,conversion_factor,x_calib_mm,y_calib_mm,notes,mean_body_deflection
83,skrys9_up_13.avi,skrys9_up_13.avi,Gecko,skrys9,333,100,FR,79,146,112,"(530, 197)","(498, 205)",1.38,23.188,-5.797,,3.03
84,skrys9_up_15.avi,skrys9_up_15.avi,Gecko,skrys9,376,100,HR,225,282,254,"(529, 199)","(500, 213)",1.4,20.714,-10,,3.28
85,skrys9_up_17.avi,skrys9_up_17.avi,Gecko,skrys9,266,100,HL,82,135,108,"(530, 198)","(547, 208)",1.36,-12.5,-7.353,,13.26
86,Swil1_up_08.avi,Swil1_up_08.txt,Gecko,Swil1,167,100,HR,73,98,86,"(534, 191)","(522, 172)",1.32,9.091,14.394,also has FR on forceplate twice but slipping,7.16
87,Swil1_up_09.avi,Swil1_up_09.txt,Gecko,Swil1,324,100,FL,106,139,122,"(533, 190)","(534, 204)",1.35,-0.741,-10.37,also has HL on forceplate after,18.05
88,swil2_up_01.avi,swil2_up_01.txt,Gecko,swil2,168,100,HL,73,89,81,"(531, 189)","(538, 182)",1.34,-5.224,5.224,,13.74
89,swil9_down_03.avi,swil9_down_03.txt,Gecko,swil9,97,100,,,,,"(nan, nan)","(nan, nan)",,,,,
90,swil9_down_05.avi,swil9_down_05.txt,Gecko,swil9,116,100,,,,,"(nan, nan)","(nan, nan)",,,,,
91,swil9_down_07.avi,swil9_down_07.txt,Gecko,swil9,287,100,HR,208,214,211,"(528, 204)","(507, 208)",1.36,15.441,-2.941,,8.21
92,swil9_up_01.avi,swil9_up_01.txt,Gecko,swil9,380,100,FL,26,45,36,"(527, 203)","(506, 173)",1.34,15.672,22.388,,9.11
93,swil9_up_02.avi,swil9_up_02.txt,Gecko,swil9,178,100,HR,80,90,85,"(526, 202)","(549, 182)",1.4,-16.429,14.286,very fast,10.99
94,swil9_up_04.avi,swil9_up_04.txt,Gecko,swil9,175,100,FR,73,78,76,"(526, 202)","(518, 219)",1.41,5.674,-12.057,very fast,10.07
95,swil9_up_06.avi,swil9_up_06.txt,Gecko,swil9,146,100,FL,12,29,20,"(526, 202)","(511, 215)",1.38,10.87,-9.42,,24.27
96,swil9_up_08.avi,swil9_up_08.txt,Gecko,swil9,126,100,FL,16,36,26,"(526, 204)","(502, 227)",1.37,17.518,-16.788,,5.84
