filename	 foot	 direction	 MeanX	 MeanY	 MeanZ	 IntergralX	 IntergralY	 IntergralZ	 MinX	 MinY	 MinZ	 MaxX	 MaxY	 MaxZ
Gecko_16_run18_2018-09-18_000000.avi	 hind	 down	 0.038122	 0.045779	 0.005243	 0.001375	 0.001652	 0.000189	 -0.000433	 -0.001353	 -0.002297	 0.084499	 0.093092	 0.013452
Gecko17_run2_2018-09-19_000000.avi	 fore	 up	 -0.005895	 0.015227	 0.003619	 -0.000235	 0.000606	 0.000144	 -0.012315	 0.000254	 -0.002908	 0.000029	 0.027301	 0.006544
Gecko17_run3_2018-09-19_000000.avi	 fore	 down	 0.002056	 0.003370	 -0.000419	 0.000043	 0.000071	 -0.000009	 -0.003261	 -0.000191	 -0.006038	 0.012489	 0.014848	 0.002897
Gecko17_run3_2018-09-19_000000.avi	 hind	 down	 0.025041	 0.027073	 0.003512	 0.000601	 0.000649	 0.000084	 0.003237	 0.002142	 -0.001907	 0.050210	 0.054250	 0.009616
Gecko17_run4_2018-09-19_000000.avi	 fore	 down	 0.005664	 0.007510	 -0.000782	 0.000181	 0.000240	 -0.000025	 -0.005222	 -0.000826	 -0.010270	 0.022337	 0.022104	 0.003271
Gecko17_run5_2018-09-19_000000.avi	 fore	 up	 -0.001943	 0.015967	 0.003559	 -0.000112	 0.000919	 0.000205	 -0.006781	 -0.001012	 -0.000555	 0.003476	 0.028104	 0.007699
Gecko17_run6_2018-09-19_000000.avi	 fore	 down	 -0.003258	 0.004187	 -0.002333	 -0.000137	 0.000176	 -0.000098	 -0.008392	 -0.000505	 -0.008186	 0.001604	 0.008468	 0.000741
Gecko17_run6_2018-09-19_000000.avi	 hind	 down	 -0.004877	 0.016292	 0.002860	 -0.000303	 0.001012	 0.000178	 -0.012019	 -0.001303	 -0.001176	 0.000856	 0.031521	 0.006209
Gecko17_run7_2018-09-19_000000.avi	 fore	 up	 0.014528	 0.019336	 0.003780	 0.000835	 0.001111	 0.000217	 0.000473	 0.003939	 0.000517	 0.031698	 0.033258	 0.007314
Gecko17_run8_2018-09-19_000000.avi	 fore	 down	 0.005351	 0.006983	 -0.002166	 0.000140	 0.000182	 -0.000057	 -0.001552	 0.001288	 -0.006736	 0.015412	 0.015364	 0.001416
Gecko17_run8_2018-09-19_000000.avi	 hind	 down	 -0.007019	 0.022345	 0.004513	 -0.000225	 0.000717	 0.000145	 -0.015953	 0.001951	 -0.002593	 0.001276	 0.036016	 0.008276
Gecko17_run9_2018-09-19_000000.avi	 hind	 up	 0.005421	 0.014007	 -0.000077	 0.000369	 0.000954	 -0.000005	 -0.008709	 -0.000212	 -0.004396	 0.018216	 0.024081	 0.004294
Gecko17_run10_2018-09-19_000000.avi	 hind	 up	 0.010494	 0.013598	 -0.002101	 0.000843	 0.001092	 -0.000169	 -0.000271	 -0.002155	 -0.005836	 0.018749	 0.028591	 0.000695
Gecko17_run11_2018-09-19_000000.avi	 fore	 down	 0.000721	 0.006278	 -0.002156	 0.000023	 0.000198	 -0.000068	 -0.004827	 0.000572	 -0.004652	 0.006693	 0.009702	 0.000882
Gecko17_run11_2018-09-19_000000.avi	 hind	 down	 -0.008665	 0.015494	 0.002374	 -0.000294	 0.000527	 0.000081	 -0.014441	 -0.001032	 -0.000823	 -0.000916	 0.025963	 0.005270
Gecko17_run12_2018-09-19_000000.avi	 fore	 up	 -0.010522	 0.006488	 0.004820	 -0.000354	 0.000218	 0.000162	 -0.023005	 -0.002604	 -0.008041	 0.002420	 0.015616	 0.010761
