,filename,MeanX,MeanY,MeanZ,IntergralX,IntergralY,IntergralZ,MinX,MinY,MinZ,MaxX,MaxY,MaxZ,foot,foot2,direction,footfall_begin,footfall_end,individual,bodymass,SVL,TL,MeanX_rel,MeanY_rel,MeanZ_rel,MeanXY,MeanXY_rel,dirMeanXY_rel
131,hfren17_run_07.avi,0.01235,0.017032,0.003158,0.00083,0.001144,0.000212,-0.004562,0.001063,-0.002987,0.031512,0.033083,0.007155, FR,fore,up,36,52,hfren17,2.3,364,382.37,0.005369565,0.007405217,0.001373043,0.029382,0.012774783,35.94608068
137,hfren17_run_11.avi,0.000461,0.005071,-0.001844,1.80E-05,0.000198,-7.20E-05,-0.004831,-0.000891,-0.004675,0.00669,0.008806,0.000857, FR,fore,down,44,53,hfren17,2.3,364,382.37,0.000200435,0.002204783,-0.000801739,0.005532,0.002405217,5.194428908
141,hfren17_run_13.avi,0.008726,0.012112,0.003277,0.000387,0.000538,0.000146,-0.001042,-0.001745,-0.002357,0.020397,0.028863,0.007926, FR,fore,up,26,37,hfren17,2.3,364,382.37,0.003793913,0.005266087,0.001424783,0.020838,0.00906,35.77058255
159,hfren18_run_02.avi,0.021063,0.010245,0.003034,0.000929,0.000452,0.000134,-0.003321,-0.008995,-0.004704,0.062867,0.038555,0.014106, FR,fore,up,38,49,hfren18,3.53,424,437.12,0.005966856,0.002902266,0.00085949,0.031308,0.008869122,64.06180666
173,hfren18_run_11.avi,-0.002029,0.007584,-0.004142,-3.80E-05,0.000143,-7.80E-05,-0.02041,-0.001327,-0.025528,0.0124,0.038211,0.002229, FR,fore,down,23,27,hfren18,3.53,424,437.12,-0.000574788,0.002148442,-0.001173371,0.005555,0.001573654,-14.97795859
184,hfren18_run_18.avi,0.013311,0.016834,0.002733,0.000886,0.001121,0.000182,-0.000285,-0.003255,-0.002838,0.024418,0.03031,0.005755, FR,fore,up,81,98,hfren18,3.53,424,437.12,0.003770822,0.004768839,0.000774221,0.030145,0.00853966,38.33416806
3,hfren11_run_03.avi,0.015426,0.019115,0.000864,0.000855,0.001059,4.80E-05,-0.000558,-0.001827,-0.003713,0.026125,0.034059,0.004661, HL,hind,down,65,79,hfren11,2.75,426,447.1,0.005609455,0.006950909,0.000314182,0.034541,0.012560364,38.90388369
7,hfren11_run_05.avi,0.009163,0.017722,-0.002245,0.000568,0.001099,-0.000139,-0.001878,-0.003207,-0.008605,0.018658,0.038384,0.000163, HL,hind,up,65,81,hfren11,2.75,426,447.1,0.003332,0.006444364,-0.000816364,0.026885,0.009776364,27.34081588
9,hfren11_run_06.avi,0.008339,0.016608,-0.002603,6.00E-04,0.001196,-0.000187,-0.000718,-0.001658,-0.00451,0.01777,0.038676,6.60E-05, HL,hind,up,65,83,hfren11,2.75,426,447.1,0.003032364,0.006039273,-0.000946545,0.024947,0.009071636,26.66156666
11,hfren11_run_09.avi,0.00692,0.009625,0.00062,0.000488,0.000678,4.40E-05,-0.005628,-0.00906,-0.001659,0.012798,0.019301,0.004698, HL,hind,down,64,81,hfren11,2.75,426,447.1,0.002516364,0.0035,0.000225455,0.016545,0.006016364,35.71466346
