filename	 MeanX	 MeanY	 MeanZ	 IntergralX	 IntergralY	 IntergralZ	 MinX	 MinY	 MinZ	 MaxX	 MaxY	 MaxZ	 foot	 direction	 footfall_begin	 footfall_end
hfren16_run_17.avi	 0.008621	 0.028343	 -0.001708	 0.000513	 0.001687	 -0.000102	 -0.005361	 -0.004049	 -0.008267	 0.030684	 0.065917	 0.004548	 HL	 up	 64	 79
hfren16_run_18.avi	 0.013137	 0.008700	 0.000817	 0.000398	 0.000264	 0.000025	 -0.000430	 -0.001006	 -0.016300	 0.031460	 0.018556	 0.006984	 FL	 down	 33	 40
hfren16_run_18.avi	 0.024709	 0.029925	 0.003491	 0.001416	 0.001715	 0.000200	 -0.001407	 -0.008634	 -0.003157	 0.084507	 0.093104	 0.014329	 HL	 down	 40	 54
hfren17_run_02.avi	 -0.004829	 0.012292	 0.003005	 -0.000240	 0.000610	 0.000149	 -0.012182	 -0.000520	 -0.002909	 0.000313	 0.026438	 0.006547	 FL	 up	 49	 61
hfren17_run_02.avi	 0.020102	 0.017871	 -0.002347	 0.000945	 0.000840	 -0.000110	 -0.002355	 -0.000536	 -0.005357	 0.046042	 0.041588	 0.000636	 HL	 up	 61	 73
hfren17_run_03.avi	 0.018516	 0.020145	 0.002452	 0.000604	 0.000657	 0.000080	 -0.000908	 -0.003240	 -0.002017	 0.048304	 0.052471	 0.009760	 HL	 down	 33	 41
hfren17_run_04.avi	 0.005143	 0.006726	 -0.000761	 0.000185	 0.000242	 -0.000027	 -0.004754	 -0.000550	 -0.004373	 0.021638	 0.020863	 0.002305	 FL	 down	 32	 41
hfren17_run_04.avi	 0.014845	 0.013657	 0.001644	 0.000588	 0.000541	 0.000065	 -0.000133	 -0.000422	 -0.000932	 0.024773	 0.024224	 0.003376	 HL	 down	 40	 50
hfren17_run_05.avi	 -0.001311	 0.013889	 0.003060	 -0.000090	 0.000954	 0.000210	 -0.006773	 -0.000582	 -0.000274	 0.003484	 0.027613	 0.007362	 FL	 up	 93	 110
hfren17_run_05.avi	 0.004144	 0.008530	 0.002899	 0.000246	 0.000507	 0.000172	 -0.000356	 -0.000380	 0.000003	 0.007774	 0.017762	 0.006019	 HL	 up	 110	 125
hfren17_run_06.avi	 -0.002794	 0.003496	 -0.001977	 -0.000139	 0.000174	 -0.000098	 -0.008175	 -0.001070	 -0.006853	 0.001056	 0.006793	 0.000605	 FR	 down	 60	 72
hfren17_run_06.avi	 -0.004655	 0.015526	 0.002726	 -0.000303	 0.001012	 0.000178	 -0.011946	 -0.001083	 -0.000752	 0.000167	 0.031451	 0.005917	 HR	 down	 72	 88
hfren17_run_07.avi	 0.000277	 0.013985	 0.002701	 0.000017	 0.000850	 0.000164	 -0.003941	 0.000005	 -0.000370	 0.004381	 0.023542	 0.004634	 FL	 up	 21	 36
